std_no,department_no,class_code,class_name,period
08022088,022,FIZ3370,Maddenin Yapısına Giriş,BAHAR DÖNEMİ
08022064,022,FIZ4550,X-ışınları,BAHAR DÖNEMİ
07022076,022,FIZ4570,Nükleer Veri Toplanması Ve Değerlendirilmesi,BAHAR DÖNEMİ
07022076,022,FIZ4590,Sağlık Fiziği,BAHAR DÖNEMİ
08022088,022,FIZ4590,Sağlık Fiziği,BAHAR DÖNEMİ
07022076,022,FIZ4620,Fotonik,BAHAR DÖNEMİ
08022064,022,FIZ4690,Katıhal Fiziği 2,BAHAR DÖNEMİ
04022058,022,FIZ4702,Atom Ve Molekül Fiziği Lab.,BAHAR DÖNEMİ
07022076,022,FIZ4702,Atom Ve Molekül Fiziği Lab.,BAHAR DÖNEMİ
08022064,022,FIZ4702,Atom Ve Molekül Fiziği Lab.,BAHAR DÖNEMİ
07022076,022,FIZ4820,Çekirdek Fiziği 2,BAHAR DÖNEMİ
08084013,084,FVP3711,Deneysel Fotoğraf,BAHAR DÖNEMİ
08084013,084,FVP4442,Moda Fotografı,BAHAR DÖNEMİ
08084013,084,FVP4451,Fotoğraf Kuramı,BAHAR DÖNEMİ
08084013,084,FVP4461,Güncel Fotoğraf Pratiği,BAHAR DÖNEMİ
09046030,046,HRT4171,Koordinat Sistemleri,BAHAR DÖNEMİ
09046050,046,HRT4642,Taşınmaz Geliştirme Uygulaması,BAHAR DÖNEMİ
07031090,031,IKT3650,Sürdürülebilir Kalkınma,BAHAR DÖNEMİ
07031090,031,IKT3720,Sosyal Tarih,BAHAR DÖNEMİ
09085001,085,ILT4702,Deneysel Tipografi,BAHAR DÖNEMİ
06042030,042,INS3222,Kıyı Hidroliğine Giriş,BAHAR DÖNEMİ
06042107,042,INS3222,Kıyı Hidroliğine Giriş,BAHAR DÖNEMİ
06042030,042,INS3712,İleri Beton Teknolojisi,BAHAR DÖNEMİ
05042169,042,INS4112,Geoteknik Deprem Mühendisliği,BAHAR DÖNEMİ
08042070,042,INS4112,Geoteknik Deprem Mühendisliği,BAHAR DÖNEMİ
09042008,042,INS4112,Geoteknik Deprem Mühendisliği,BAHAR DÖNEMİ
09042059,042,INS4112,Geoteknik Deprem Mühendisliği,BAHAR DÖNEMİ
09042008,042,INS4121,Çevre Geotekniği,BAHAR DÖNEMİ
09042059,042,INS4121,Çevre Geotekniği,BAHAR DÖNEMİ
09042008,042,INS4291,Su Yapıları Tasarımı,BAHAR DÖNEMİ
03042248,042,INS4421,Karayolu Üstyapıları,BAHAR DÖNEMİ
05042169,042,INS4421,Karayolu Üstyapıları,BAHAR DÖNEMİ
09042059,042,INS4571,Yapı Mühendisliğinde Bilgisayar Uygulamaları,BAHAR DÖNEMİ
09042059,042,INS4672,Toplu Taşıma Aktarma Merkezi Tasarımı,BAHAR DÖNEMİ
08042070,042,INS4672,Toplu Taşıma Aktarma Merkezi Tasarımı,BAHAR DÖNEMİ
08042070,042,INS4672,Toplu Taşıma Aktarma Merkezi Tasarımı Ortak Grup Türkçe,BAHAR DÖNEMİ
09042059,042,INS4672,Toplu Taşıma Aktarma Merkezi Tasarımı Ortak Grup Türkçe,BAHAR DÖNEMİ
06042030,042,INS4711,Yapılarda Su Yalıtımı,BAHAR DÖNEMİ
06042030,042,INS4812,İnşaat Makineleri,BAHAR DÖNEMİ
09042059,042,INS4812,İnşaat Makineleri,BAHAR DÖNEMİ
09046080,046,ISL1611,İşletme Bilimine Giriş,BAHAR DÖNEMİ
07031084,031,ISL2132,Maliyet Muhasebesi,BAHAR DÖNEMİ
09033082,033,ISL3450,Sosyal Medya Pazarlama,BAHAR DÖNEMİ
08033065,033,ISL4250,Sermaye Piyasası ve Analizleri,BAHAR DÖNEMİ
09023701,023,IST1172,Bilimsel Düşünme Ve İstatistik,BAHAR DÖNEMİ
06023032,023,IST2082,Biyoistatistik,BAHAR DÖNEMİ
06023032,023,IST3050,Anket Düzenleme,BAHAR DÖNEMİ
09023057,023,IST3082,İstatistikte Parametre Tahmini Ve Hipotez Testi,BAHAR DÖNEMİ
06023032,023,IST3152,İstatistik Paket Programları Kullanımı,BAHAR DÖNEMİ
07023036,023,IST4322,Uygulamalı Panel Veri Analizi,BAHAR DÖNEMİ
07023036,023,IST4412,Veri Madenciliğine Giriş,BAHAR DÖNEMİ
09023057,023,IST4512,Robust Tahmin Yöntemleri Ve R Uygulamaları,BAHAR DÖNEMİ
09065205,065,MAK3272,Klima 1,BAHAR DÖNEMİ
07065112,065,MAK3372,Hidrolik Makineler,BAHAR DÖNEMİ
09065016,065,MAK3462,Demir Esaslı Metallerin Gravite Dökümü,BAHAR DÖNEMİ
07065112,065,MAK3502,İmalatta Kalite,BAHAR DÖNEMİ
09065205,065,MAK3502,İmalatta Kalite,BAHAR DÖNEMİ
05065801,065,MAK3582,Özel Kaynak Yöntemleri,BAHAR DÖNEMİ
09065205,065,MAK3652,Mühendislikte Proje Yönetimi,BAHAR DÖNEMİ
05065801,065,MAK4082,Endüstriyel Akustik Ve Gürültü,BAHAR DÖNEMİ
07065112,065,MAK4082,Endüstriyel Akustik Ve Gürültü,BAHAR DÖNEMİ
09065016,065,MAK4082,Endüstriyel Akustik Ve Gürültü,BAHAR DÖNEMİ
07065707,065,MAK4092,Robot Mühendisliğine Giriş,BAHAR DÖNEMİ
08065224,065,MAK4192,Enerji Yönetimi 2,BAHAR DÖNEMİ
05065801,065,MAK4302,İklimlendirme Sistem Elemanları,BAHAR DÖNEMİ
05065801,065,MAK4502,Konstrüksiyon Elemanları,BAHAR DÖNEMİ
07065112,065,MAK4662,Makine Mühendisliğinde Deneysel Yöntemler,BAHAR DÖNEMİ
09065016,065,MAK4922,Arıtma Teknolojileri,BAHAR DÖNEMİ
07065112,065,MAK4972,Taşıt Ve Çevre,BAHAR DÖNEMİ
06071048,071,MIM1422,Sanat Ve Mimarlık Tarihine Giriş,BAHAR DÖNEMİ
03071034,071,MIM3122,Mimarlıkta Peyzaj Tasarımı,BAHAR DÖNEMİ
06071048,071,MIM3142,Engelsiz Mimari,BAHAR DÖNEMİ
03071034,071,MIM3322,Türk Evi Ve Koruması,BAHAR DÖNEMİ
